Constructors,constructor_mean_GMS,puzzle_count_GMS
Ryan McCarty and Yacob Yonas,-34.0,1
Ryan Patrick Smith,-22.0,3
Sally Hoelscher,-15.0,1
Sam Acker,-21.0,1
Sam Buchbinder,-6.0,5
Sam Buttrey,7.0,1
Sam Ezersky,0.52,23
Sam Trabucco,-7.83,18
Samuel A. Donaldson,10.0,5
Samuel A. Donaldson and Christina Iverson,16.0,1
Samuel A. Donaldson and Doug Peterson,3.5,2
Samuel A. Donaldson and Tracy Gray,-28.0,1
Samuel Smalley,26.0,1
Sandy Ganzell,-25.0,1
Sarah Keller and Derek Bowman,6.0,1
Sarah Sinclair,-2.0,1
Saul Pink,4.0,1
Scott Earl,-20.0,4
Scott Earl and Katherine Baicker,-7.0,1
Scott Graham,-13.0,1
Scott Koenig,-23.0,1
Sean Biggins,-21.0,1
Sean Yamada-Hunter,-2.0,1
Sean Ziebarth,-8.0,2
Seth A. Abel,-3.33,3
Seth Bisen-Hersh,-25.0,1
Seth Weitberg,14.0,1
Sheldon Polonsky,-7.0,3
Sid Sivakumar,-6.64,11
Simeon Seigel,5.78,9
Simon Marotte,-18.2,5
Simon Marotte and Trenton Lee Stewart,-9.5,2
Soleil Saint-Cyr,-24.0,1
Sophia Maymudes,-31.5,2
Sophia Maymudes and David Maymudes,-24.0,1
Sophia Maymudes and Kyra Wilson,-20.67,3
Sophia Maymudes and Margaret Seikel,-14.5,2
Spencer Leach,-49.0,1
Spencer Leach and Quiara Vasquez,-5.0,1
Sridhar Bhagavathula,-14.0,1
Stanley Newman,5.5,1
Stella Zawistowski,-0.29,7
Stephanie Lesser,-1.0,1
Stephen Hiltner,-19.0,1
Stephen McCarthy,-6.75,3
Steve Mossberg,-1.0,1
Steve Weyer,17.0,1
Stu Ockman,-0.67,3
Sue Fracker,-9.0,1
Susan Gelfand,7.0,1
Tao Platt,-22.0,1
Taylor Johnson,-14.5,2
Taylor Johnson and Chandi Deitmer,17.0,1
Temple Brown,-12.0,1
Thomas van Geel,-20.0,1
Timothy Polin,-4.0,11
Todd Gross,-10.5,2
Tom McCoy,-6.6,5
Tom Pepper,6.0,4
Tomas Spiers,-13.5,2
Tomas Spiers and Ethan Zou,-1.0,1
Tommy Pauly,-15.0,1
Tony Orbach,-18.0,1
Tracy Bennett,5.0,2
Tracy Gray,-11.29,7
Tracy Gray and Jeremy Newton ,34.0,1
Tracy Gray and Tom Pepper,-3.0,1
Trent H. Evans,-19.25,8
Trent H. Evans and Beth Rubin,-11.0,1
Trenton Charlson,-3.97,30
Trey Mendez,5.0,1
Trip Payne,-3.0,1
Troy Laedtke,-8.0,1
Vasu Seralathan,-10.0,2
Victor Barocas,4.0,5
Victor Barocas and David Liben-Nowell,-6.0,1
Victor Barocas and Howard Barkin,-8.0,1
Victor Fleming and Simon Marotte,-7.0,1
Wayne Bergman and Gary Otting,-35.0,1
Wendy L. Brandes,1.0,2
Wil Nediger,-13.0,1
Will Nediger,-11.73,15
Will Nediger and Brooke Husic,-13.5,2
Will Nediger and Dick Shlakman,3.0,1
Will Nediger and Matthew Stock,-12.0,1
Will Nediger and Nancy Stark ,10.86,7
Will Pfadenhauer,-30.0,1
Will Treece,-15.0,1
Wren Schultz,-21.5,2
Wyna Liu,5.67,3
Wyna Liu and Joel Fagliano,-5.0,1
Xan Vongsathorn,-27.0,1
Yacob Yonas,-27.0,5
Yacob Yonas and Alan Southworth,-15.0,1
Yacob Yonas and Chad Horner,-18.0,1
Zachary David Levy,-3.5,4
Zachary Spitz,2.0,1
Zhouqin Burnikel,-16.61,22
Zhouqin Burnikel and Anthony J. Caruso,-14.0,1
Zhouqin Burnikel and Doug Burnikel,7.0,1
Zhouqin Burnikel and Tom Pepper,-0.67,2
